Titel;Satz;Position1;Position2;Suspense
Eine Spukgeschichte;Sie erwacht endlich aus der Ohnmacht und erzählt, an allen Gliedern zitternd, daß, kaum sei sie vor das Gewölbe getreten, dicht vor ihr eine luftige Gestalt, wie in Nebel gehüllt, gestanden und die Hand nach ihr ausgestreckt habe.;5768;5998;/1
Eine Spukgeschichte;o Gott;10126;10132;/1
Am Kamin;"Dann wurden Maurer, Tischler, Tapezierer in Arbeit gesetzt;";39149;39208;/0
Am Kamin;ich habe einen notwendigen Gang zu tun.;47209;47248;/1
Am Kamin;namentlich liebte er es, sich hypothetischen Grübeleien über einen notwendigen Zusammenhang des Körpers mit der Seele hinzugeben.;43509;43638;/0
Am Kamin;"Sie ging auf den kleinen, in die Wand gemauerten Beilegeofen zu und streichelte mit zitternden Händen die daran befindlichen Messingknöpfe; dabei wandte sie den Kopf zu meiner Mutter und sagte mit einer traurigen Stimme:";28484;28704;/1
Am Kamin;Und dann hier drinnen dies helle Kienäpfelfeuerchen!;263;315;/0
Am Kamin;›Denke dir, Karl, was mir geträumt hat!‹;2442;2482;/1
Eine Spukgeschichte;Und wie willenlos, unverwandten starren Blickes, greift nun Adelgunde hinter sich, faßt einen kleinen Teller, der zufällig auf dem Tische steht, reicht ihn vor sich hin in die Luft, läßt ihn los – und der Teller, wie von unsichtbarer Hand getragen, schwebt langsam im Kreise der Anwesenden umher und läßt sich dann leise auf den Tisch nieder!;10262;10604;/1
Am Kamin;Du, Alexius?;41305;41317;/0
Am Kamin;Da hast du ein Glas Punsch! ;7687;7715;/0
Tatsachen im Falle Waldemar;Ich folgte der Aufforderung und sagte:;12536;12574;/1
Am Kamin;›Du träumst ja, mein Kind!‹;1682;1709;/0
Am Kamin;Als der Meister ihm gute Nacht gewünscht, stand der junge Mann noch einen Augenblick und horchte, wie sich die Schritte des Alten über die Treppe hinab entfernten und dann unten in dem langen Gange allmählich verloren.;8978;9196;/0
Eine Spukgeschichte;Das ist ja eine ganz verdammte Spukgeschichte!;12563;12609;/0
Am Kamin;"Plötzlich höre ich unter derselben einen Schlüssel in dem Vorlegeschloß umdrehen;";33620;33701;/1
Eine Spukgeschichte;Jesus!;5338;5344;/1
Am Kamin;"Aber der Tee dürfte indessen fertig sein;";35603;35644;/0
Eine Spukgeschichte;die dicht vor mir steht;5312;5335;/1
Am Kamin;Da merkt man Absicht, und... et cetera.;683;722;/0
Am Kamin;"›Es muß nach Mitternacht gewesen sein;";2700;2738;/1
Tatsachen im Falle Waldemar;und ich glaube, sie haben den Zeitpunkt ziemlich richtig angegeben.;3970;4037;/1
Am Kamin;"Es war das schönste Sommerwetter;";5244;5277;/0
Tatsachen im Falle Waldemar;Waldemar.;4038;4047;/-
Am Kamin;›Es war ein großer Wolf da, er war hinter mir, er wollte mich fressen.‹ ;1608;1680;/0
Am Kamin;Ärgere den alten Herrn nicht!;3046;3075;/0
Eine Spukgeschichte;sie streckt die Hand nach mir aus;5347;5380;/1
Am Kamin;Es läßt sich auch von hier aus erzählen.;41631;41671;/0
Am Kamin;Und Ihr Freund?;20142;20157;/1
Tatsachen im Falle Waldemar;Gleichzeitig kräuselte sich die Oberlippe, die bisher die Zähne bedeckt hatte, stark aufwärts, während die untere Kinnlade mit hörbarem Ruck herunterklappte und den Mund weit offen zeigte, in dessen Mitte die geschwollene und schwarz gewordene Zunge voll zu sehen war.;13753;14021;/1
Tatsachen im Falle Waldemar;Diese hielt wohl eine Minute lang an.;14619;14656;/1
Am Kamin;Du sprichst ja wie ein moderner Literarhistoriker.;48838;48888;/0
Tatsachen im Falle Waldemar;Ich fühle jetzt, daß ich in meiner Erzählung einen Punkt erreicht habe, wo jeder Leser sich ungläubig abwendet.;14227;14338;/0
Am Kamin;"Ob es ein Mißbrauch seines Amtes oder was es sonst gewesen sein sollte, erinnere ich mich nicht mehr;";25772;25873;/0
Tatsachen im Falle Waldemar;Fünf Minuten vor elf ließen sich unwiderlegliche Anzeichen mesmeristischer Einwirkung bemerken.;9238;9333;/1
Am Kamin;"Im Herbst und bei Regenwetter will ich es Ihnen nicht gewünscht haben;";3733;3803;/0
Tatsachen im Falle Waldemar;Er zeigte sich noch immer ganz willig, ja sogar begierig und bat mich, sogleich zu beginnen.;6603;6695;/1
Am Kamin;Am andern Morgen, als ich beim Frühstück saß, trat der alte Martin zu mir in die Stube.;34571;34658;/0
Am Kamin;Ich war heftig bewegt – und statt auf die gelehrten Auseinandersetzungen des Professors X. und des ihm assistierenden Arztes einzugehen, teilte ich ihnen meine dem Toten gegebene feierliche Zusage mit.;45329;45530;/1
Tatsachen im Falle Waldemar;Zweitens (ich fürchte in der Tat, daß es mir unmöglich sein wird, mich verständlich zu machen) –, zweitens empfand mein Gehörsinn diese Laute so, wie etwa der Gefühlsinn gallertartige oder klebrige Dinge empfindet.;15402;15616;/1
Eine Spukgeschichte;Doch, nehmen wir an, daß Adelgundens Einbildung Vater, Mutter, Schwester mit fortriß, daß der Teller nur innerhalb ihres Gehirns im Kreise umherschwebte, wäre diese Einbildung, in einem Moment wie ein elektrischer Schlag drei Personen zum Tode treffend, nicht eben der entsetzlichste Spuk, den es geben könnte?;14164;14474;/0
Am Kamin;Aber Herr T. wird Ihnen die Geschichte erzählen, die ich ihm schon seit lange am Gesichte angesehen habe.;36919;37024;/0
Am Kamin;Sie war die Tochter eines Handwerkers aus einem Nachbarstädtchen und wohnte längere Zeit in einem meinen Eltern gehörigen Häuschen, dessen Hof an den Garten unsres Wohnhauses grenzte.;21917;22100;/0
Tatsachen im Falle Waldemar;Ich erklärte den Ärzten in kurzen Worten mein Vorhaben, und da sie nichts dagegen einzuwenden hatten, weil der Kranke schon in Agonie lag, setzte ich meine Versuche unverzüglich fort.;8527;8710;/1
Am Kamin;»Will nur hoffen, daß es mit dir Bestand haben wird«, setzte der Herbergswirt hinzu.;8053;8137;/0
Am Kamin;"Der Professor wurde bestürzt;";48412;48441;/1
Am Kamin;Von meinem Bruder erfuhr ich später, daß er dem alten Martin damals gründlich geholfen und ihn auch bis zu dessen Tode auf dem Hofe behalten hat.;35359;35504;/0
Am Kamin;Klärchen, paß auf deine Kienäpfel!;1002;1036;/0
Tatsachen im Falle Waldemar;"Es war am letzten Freitag, als wir schließlich beschlossen, den Versuch zu machen, ihn zu erwecken;";18604;18703;/1
Am Kamin;Ich kann versichern, daß sie eine vortreffliche Dame war.;2900;2957;/0
Tatsachen im Falle Waldemar;Meine eigenen Empfindungen darf ich gar nicht versuchen, dem Leser nahezubringen.;16350;16431;/1
Eine Spukgeschichte;Der Abend kam heran.;8919;8939;/1
Eine Spukgeschichte;Ich fühlte, daß es noch eine ganz andere Bewandtnis damit haben müsse, ohne irgend Deutliches ahnen zu können.;3742;3852;/0
Am Kamin;"Wenn der Teekessel ein Vertreter des häuslichen Herdes sein soll, so muß er unbedingt auf einem Kohlenbecken kochen; und zwar auf Torfkohlen, gehörig durchgeglühten.";21203;21368;/0
Tatsachen im Falle Waldemar;Die Art seines Leidens gestattete es, seine Todesstunde ziemlich genau vorauszusagen, und es wurde also zwischen uns vereinbart, daß er etwa vierundzwanzig Stunden vor der ihm von den Ärzten bezeichneten Sterbestunde mich zu sich rufen lassen würde.;3461;3710;/0
Eine Spukgeschichte;Es fehlte nicht an Ärzten und an Mitteln, die das arme Kind von der fixen Idee, wie man die von ihr behauptete Erscheinung zu nennen beliebte, befreien sollten, aber alles blieb vergebens, und sie bat unter vielen Tränen, man möge sie doch nur in Ruhe lassen, da die Gestalt, die in ihren ungewissen, unkenntlichen Zügen an und vor sich selbst gar nichts Schreckliches habe, ihr kein Entsetzen mehr errege, wiewohl es jedesmal nach der Erscheinung ihr zumute sei, als wäre ihr Innerstes mit allen Gedanken hinausgewendet und schwebe körperlos außer ihr selbst umher, wovon sie krank und matt werde.;7106;7704;/0
Am Kamin;dann sagte er, ohne mich anzusehen: ;5981;6017;/1
Tatsachen im Falle Waldemar;Der linke Lungenflügel war seit achtzehn Monaten vollkommen verknorpelt und ganz unbrauchbar.;5147;5240;/0
Eine Spukgeschichte;Endlich machte der Obrist die Bekanntschaft eines berühmten Arztes, der in dem Ruf stand, Wahnsinnige auf eine überaus pfiffige Weise zu heilen.;7707;7851;/0
Am Kamin;wohl aber, daß man die überlebende Witwe als die eigentliche Urheberin davon betrachtete.;25874;25963;/0
Am Kamin;Mein erster Gedanke war, daß mein Kutscher, dem ich seit einiger Zeit, zu seinem großen Ärger, die Rationen für die Pferde etwas beschränkt hatte, aus Liebe zu dem armen Viehzeug zum Spitzbuben geworden sei.;33132;33339;/0
Am Kamin;Er sah mich an.;34920;34935;/1
Eine Spukgeschichte;Erst heute erfuhr ich den wahren entsetzlichen Zusammenhang der Sache und das Ereignis, das den kleinen glücklichen Familienkreis auf furchtbare Weise verstört hat.;3853;4017;/1
Eine Spukgeschichte;Adelgunde!;9802;9812;/1
Am Kamin;das fiel mir auf, denn die Fenster des Krankenzimmers lagen nach dem Hofe hinaus.;44633;44714;/0
Am Kamin;Der junge Mann verlor plötzlich die Lust, mit solcher Gesellschaft noch länger in Quartier zu liegen.;13084;13185;/0
Eine Spukgeschichte;es winkt.;10249;10258;/1
Tatsachen im Falle Waldemar;Als ich mich Herrn Waldemar näherte, machte ich den schwachen Versuch, seinen rechten Arm der Führung des meinigen zu unterwerfen.;10918;11048;/0
Am Kamin;"Zugleich muß ich bitten, mich für heute abend zu entlassen;";47149;47208;/1
Am Kamin;"Meine verehrten Herrschaften, wenn dergleichen möglich wäre, so würde ich es ohne Zweifel an mir erfahren haben;";42543;42655;/1
Am Kamin;Oben beim Schein der Nachtlampe in sanftem Schlummer hatte er die Mutter zurückgelassen.;19219;19307;/0
Am Kamin;Ja, da klatschen die jungen Damen schon alle in die Hände.;49;107;/0
Eine Spukgeschichte;In kurzer Zeit war die Obristin hingerafft.;10999;11042;/1
Am Kamin;"Grauen ist, wenn einem nachts ein Eimer mit Gründlingen ins Bett geschüttet wird; das hab ich schon gewußt, als meine Schuhe noch drei Heller kosteten.";49393;49544;/0
Tatsachen im Falle Waldemar;und fügte gleich darauf hinzu:;8017;8047;/0
Am Kamin;Du verdunkelst da etwas.;23015;23039;/0
Am Kamin;"Die Beschränktheit ihrer Lebensverhältnisse, verbunden mit dem Drang, allerlei feingeistige Nahrung zu sich zu nehmen – denn Rahels Briefe waren ihre Lieblingskost –, hatten eine seltsame, aber nicht uninteressante Auffassung der Dinge bei ihr hervorgebracht; und wir haben über das Gartenstaket hinweg manch kurzweiliges Plauderstündchen miteinander abgehalten.";22624;22986;/0
Eine Spukgeschichte;Mag es mit Adelgundens Phantom, mag es mit dem schwebenden Teller dann nun eine Bewandtnis gehabt haben, welche es wolle, genug, die Tatsache bleibt stehen, daß sich an jenem Abende in dem Kreise der Familie des Obristen von P. etwas zutrug, worüber drei Personen zu gleicher Zeit in einen solchen verstörten Gemütszustand gerieten, der bei einer den Tod, bei der andern Wahnsinn herbeiführte, wollen wir nicht auch, wenigstens mittelbar, den Tod des Obristen jenem Ereignis zuschreiben.;13204;13691;/0
Am Kamin;Während ich in diesem Augenblick vielleicht nicht weniger erschrak, erfuhr ich nach und nach die näheren Umstände des Diebstahls und die unglücklichen Verhältnisse, die den bisher ehrlichen Mann zum Verbrecher gemacht hatten.;35085;35310;/0
Am Kamin;Endlich?;41318;41326;/0
Am Kamin;Aber Klärchen, was hältst du denn die Hände vor den Augen?;20523;20581;/0
Am Kamin;"Unser Umgang wurde dadurch nicht unterbrochen;";14866;14912;/0
Am Kamin;ein verlorener Punkt in dem unermessenen und unverstandenen Raum.;49125;49190;/0
Am Kamin;Das ist ja aber eine ganz unverschämte Theorie!;36588;36635;/0
Am Kamin;Wie das erste Mal ging die Frau, leise vor sich hinjammernd, an den Ofen.;29602;29675;/1
Am Kamin;"Jetzt wurde es in seinen oberen Räumlichkeiten als Kornspeicher benutzt;";38114;38186;/0
Tatsachen im Falle Waldemar;Es war jetzt die Ansicht oder vielmehr der Wunsch der Ärzte, daß Herr Waldemar in seinem gegenwärtigen, anscheinend ruhevollen Zustand belassen werden solle, bis der Tod obsiege, und das – darin stimmte man überein – müsse nun in wenigen Minuten erfolgen.;12852;13107;/1
Tatsachen im Falle Waldemar;Es war übrigens seine Gewohnheit, von seiner bevorstehenden Auflösung als von einer unvermeidlichen Tatsache, die nicht bedauert werden sollte, zu sprechen.;2714;2870;/0
Am Kamin;die Chaiselongue kann stehenbleiben.;599;635;/0
Eine Spukgeschichte;Nein,« rief Lothar, »nein, es ist nicht auszuhalten, wie das Tolle wieder unter uns lustig fortwuchert!;15590;15693;/0
Am Kamin;Ich verstehe Sie nicht, Herr Kollege.;47745;47782;/1
Tatsachen im Falle Waldemar;Ich sage: zu meiner Verwunderung, denn obgleich er sich meinen Experimenten stets willig gefügt hatte, so hatte er ihnen doch niemals besondere Sympathie entgegengebracht.;3289;3460;/0
Am Kamin;Weil du in dem Grauen nur die Gänsehaut siehst.;48907;48954;/0
Am Kamin;Es gab indessen ein neues Hindernis zu überwinden.;38637;38687;/0
Am Kamin;"Wenn wir uns recht besinnen, so lebt doch die Menschenkreatur, jede für sich, in fürchterlicher Einsamkeit;";49017;49124;/0
Am Kamin;Hören Sie nur, wie draußen der Oktoberwind in den Tannen fegt! ;200;263;/0
Tatsachen im Falle Waldemar;Er antwortete mit schwacher, aber verständlicher Stimme:;7915;7971;/0
Am Kamin;Während des Frühstücks duldete mein Vater nicht, daß irgend etwas Aufregendes oder Unangenehmes von uns vorgebracht wurde.;30237;30359;/0
Am Kamin;Ich schrieb an L., den ich um die Nachsendung einiger Effekten und die Bezahlung einiger kleiner Schulden ersuchen wollte.;39785;39907;/0
Tatsachen im Falle Waldemar;"Schon als ich meine Hand zum erstenmal seitwärts über seine Stirn zog, erzielte ich eine gewisse Wirkung; doch obgleich ich meine ganze Macht erschöpfte, war bis einige Minuten nach zehn, als die Doktoren D. und F. vorsprachen, kein bemerkenswerter Erfolg zu verzeichnen gewesen.";8247;8526;/0
Am Kamin;Er redete ihn ohne weiteres an:;47441;47472;/1
Tatsachen im Falle Waldemar;Auf dem Bett vor der ganzen Versammlung lag eine ekelhafte, stinkende Masse.;21011;21087;/1
Am Kamin;›Das war mal eine schlimme Stelle!‹;6017;6052;/1
Tatsachen im Falle Waldemar;Während ich heftig die mesmeristischen Striche ausführte, inmitten der heulenden Rufe »tot – tot«, die geradezu der Zunge – nicht den Lippen – des Leidenden entquollen, geschah es, daß seine ganze Gestalt urplötzlich – innerhalb einer einzigen Minute – zusammenschrumpfte – zerfiel – unter meinen Händen hinwegfaulte.;20693;21010;/1
Eine Spukgeschichte;"Ottmar hat recht;";15781;15798;/0
Eine Spukgeschichte;Man öffnet ihr die Türe, man setzt ihr Speisen hin, dann schlüpft sie verstohlen hinein und heraus – ißt ebenso heimlich u.s.w.;11705;11832;/0
Eine Spukgeschichte;da ist es;6478;6487;/1
Tatsachen im Falle Waldemar;"Herr Waldemar
sprach
– und vermutlich in Erwiderung der Frage, die ich ihm ein paar Minuten vorher gestellt hatte.";15766;15880;/1
Am Kamin;Also, ein Arzt in meiner Vaterstadt hatte einen vierjährigen Knaben, welcher Peter hieß.;882;970;/0
Eine Spukgeschichte;Auguste überstand die Krankheit, aber wünschenswerter war gewiß ihr Tod, als ihr jetziger Zustand.;11043;11141;/0
Am Kamin;Pfui! Wer befreit mich von diesem Schauder?;48782;48825;/0
Am Kamin;ich dachte am andern Morgen nicht eben lange daran und sagte auch niemandem davon.;28994;29076;/0
Am Kamin;Ich habe heute, da ich an einem neueröffneten Putzladen vorbeiging, lebhaft einer alten Freundin in der Heimat gedenken müssen.;21789;21916;/0
Am Kamin;Bei meinem Eintritt warf sie ihr einen harten Speziestaler vor die Füße und ging dann unter höhnenden, leidenschaftlichen Worten zur Tür hinaus.;26722;26866;/0
Tatsachen im Falle Waldemar;Denn auf das, was sich wirklich ereignete, konnte unmöglich irgendein menschliches Wesen vorbereitet sein.;20586;20692;/1
Am Kamin;Während ich zu ihr lief und mich an ihrer Schürze festhielt, bemerkte ich, daß die Verstorbene in eine bunte Nachtjacke und einen weißen wollenen Unterrock gekleidet war, wie ich sie in frühen Morgenstunden wohl mitunter gesehen hatte.;28248;28483;/1
Am Kamin;der ungeheure Saal selbst stand gegenwärtig leer und ungebraucht.;38187;38252;/0
Am Kamin;Aber wir wollen Stühle um den Kamin setzen.;549;592;/0
Am Kamin;Aber ich dächte, die Spukgeschichten gehörten gänzlich zum Rüstzeug der Reaktion?;318;399;/0
Am Kamin;"in dem alten Saale wurde gelüftet, gehämmert, drapiert und gestrichen; und täglich ging einer oder der andre von uns dahin, um die Arbeiten zu beaufsichtigen und anzuordnen.";39209;39382;/0
Eine Spukgeschichte;Dann erhebt sie sich, alle Schauer des Entsetzens im Antlitz, starrt hin in des Zimmers öden Raum, murmelt dumpf und hohl:;9466;9588;/1
Am Kamin;Nein, Klärchen, nicht die Lichter ausputzen! ;638;683;/0
Am Kamin;Aber dieses Leben mit seinem bescheidenen Glücke sollte nach einigen Jahren sein Ende erreichen.;17179;17275;/0
Tatsachen im Falle Waldemar;Sie können nun also kommen.;3843;3870;/1
Am Kamin;Hast recht, Klärchen!;49547;49568;/0
Am Kamin;Ich sage schon gar nichts mehr.;7717;7748;/0
Eine Spukgeschichte;Nachts spielte nämlich ein unsichtbares Wesen auf seinem Flügel die wunderbarsten Kompositionen mit der Kraft und Fertigkeit des vollendeten Meisters.;15294;15444;/1
Tatsachen im Falle Waldemar;Ich beschloß jedoch, noch einmal zu ihm zu sprechen, und wiederholte einfach meine vorige Frage.;13108;13204;/1
Eine Spukgeschichte;seht ihr denn nichts!;6490;6511;/1
Tatsachen im Falle Waldemar;Während ich sprach, ging mit dem Antlitz des Kranken eine seltsame Veränderung vor.;13205;13288;/1
Am Kamin;Als er sich bückte, um die Hand der Toten an seinen Mund zu drücken, die über den Rand des Bettes herabhing, faßte er zugleich ihr weißes Schnupftuch, das sie zwischen den geschlossenen Fingern hielt.;19939;20139;/1
Am Kamin;"Es war der Keim des Todes, der lange schon in ihr gelegen und nun zur Entfaltung kam;";17337;17422;/0
Am Kamin;"Du lügst ja;";24294;24306;/0
Am Kamin;auch war es kalt draußen, über den Hof zu gehen, und das Bett war so behaglich warm.;34405;34489;/0
Eine Spukgeschichte;Aber kaum ist Adelgunde an das alte, halb eingefallene Gewölbe gekommen, als sie erstarrt – gelähmt an allen Gliedern stehen bleibt.;5032;5164;/1
Eine Spukgeschichte;Fasse dich;10077;10087;/1
Am Kamin;Wir ließen uns durch die alte Wirtschafterin den Kaffee in der Gartenlaube anrichten, wir gingen auf die Fennen, um die Ochsen zu besehen, und nachdem abends die mitgebrachten Flaschen in Gesellschaft des alten Hofmannes geleert waren, fuhren wir alle vergnügt, wie wir ausgefahren waren, wieder heim.;6562;6863;/0
Eine Spukgeschichte;Ich verzeihe deshalb unserm Cyprian die verstörte Stimmung, die er beim Eintreten merken ließ, die aber jetzt schon ziemlich nachgelassen.;15947;16085;/0
Am Kamin;Klärchen, damit du was zu tun hast, schenk einmal die Gläser voll!;3569;3635;/0
Am Kamin;Man besprach die Fortexistenz der Seele nach dem Vergehen des Körpers und endlich auch die Möglichkeit einer Einwirkung der Toten auf die Lebendigen.;42234;42383;/1
Tatsachen im Falle Waldemar;Wecken Sie mich nicht!;11843;11865;/1
Tatsachen im Falle Waldemar;Es sind jetzt mehr als sieben Monate verflossen, seit ich von Herrn Waldemars eigener Hand folgende Zeilen erhielt:;3711;3826;/0
Tatsachen im Falle Waldemar;"Ich kannte die ruhevolle Philosophie dieses Mannes zu gut, als daß ich
seinerseits
irgendwelche Bedenken vermutet hätte; und er hatte in Amerika keine Angehörigen, die Einspruch hätten erheben können.";2984;3184;/0
Eine Spukgeschichte;dicht vor mir steht es!‹;6514;6538;/1
Tatsachen im Falle Waldemar;"Wir hatten nun eine Besprechung dar über, ob es richtig und tunlich sei, ihn aufzuwecken;";17751;17840;/0
Am Kamin;"Ich will mich schlafen legen; denn jetzt folgt das ganze Rezept der Teebereitung.";36638;36719;/0
Tatsachen im Falle Waldemar;Meinen Mißerfolg in dieser Hinsicht schrieb ich immer seiner zerrütteten Gesundheit zu, denn einige Monate, ehe ich mit ihm bekannt wurde, hatten seine Ärzte ihn für unrettbar schwindsüchtig erklärt.;2514;2713;/0
Am Kamin;"Als ich die zweite Tür öffnete, sah ich den Leichnam meines Freundes auf dem Tische liegen;";45146;45237;/1
Am Kamin;›Was fehlt dir, Junge?‹;1582;1605;/1
Am Kamin;vielleicht ist Klärchen so gütig?;35645;35678;/0
Tatsachen im Falle Waldemar;Keiner der Anwesenden machte auch nur den Versuch, das unerhörte, schaudernde Entsetzen zu verbergen, das diese wenigen so fürchterlich gesprochenen Worte ihm eingeflößt hatten.;16036;16213;/1
Am Kamin;Fast ohne Gedanken ging er die Treppe zu dem Krankenzimmer hinauf.;19714;19780;/1
Am Kamin;Er fand ein paar alte Leute, die ihn freundlich ansprachen, und zur Stärkung nach der Wanderung ein solides bürgerliches Abendbrot.;8570;8701;/0
Am Kamin;"Die Gesellschaft im Wagen, der sanft über den ebenen Marschweg dahinrollte, befand sich in der heitersten Laune;";5434;5546;/0
Am Kamin;Als sie mit ihren Handlaternen an jenes blühende Rapsfeld kamen, fanden sie ihn tot am Wege liegen.;7173;7272;/1
Am Kamin;Aber, meine Damen, meine Freundin war keineswegs eine Sandsche Geneviève, sondern eine gesetzte, hagere Person von fünfundvierzig Jahren!;23232;23369;/0
Tatsachen im Falle Waldemar;"Ich hielt es nicht für ratsam, ihn gerade jetzt noch weiter zu stören, und bis zur Ankunft des Dr. F. wurde nichts mehr gesprochen;";12151;12282;/0
Eine Spukgeschichte;Doch jetzt kein Wort mehr von allem gespenstischen Unwesen.;16086;16145;/0
Tatsachen im Falle Waldemar;Ich gebrauche diesen Ausdruck, weil die Plötzlichkeit ihres Verschwindens mich an das plötzliche Erlöschen einer Kerzenflamme, die man ausbläst, erinnerte.;13597;13752;/1
Am Kamin;O der!;35772;35778;/0
Am Kamin;"Nämlich nicht etwa das Schicksal, sondern den Bildungsgrad der Familie, in der die Tasse präsentiert wird; und wenn wir hier nicht so ganz unzweifelhaft gebildete Leute wären, ich glaube, er wäre imstande, mitunter daran zu zweifeln.";35876;36109;/0
Am Kamin;Bei solcher Veranlassung beklagte sich eines Abends mein Bruder gegen seinen nächsten Gutsnachbar, einen Mann, mit dem es sich sehr angenehm plauderte, daß ihm seit einiger Zeit fortwährend kleine Quantitäten Frucht von seinem Boden abhanden gekommen, ohne daß er den Dieb zu entdecken vermocht hätte.;31864;32165;/0
Eine Spukgeschichte;Aber da müßt ihr mit mir kommen bis ans Ende des Gartens, dorthin, wo das alte Gemäuer steht.‹;4774;4868;/1
Am Kamin;Ich ließ den Kutscher halten und begab mich nun unmittelbar aus dem Wagen in das Haus.;44715;44801;/0
Am Kamin;Das hatte indessen in B., das an dergleichen Räumlichkeiten etwa nicht reich ist, seine Schwierigkeiten.;37611;37715;/0
Am Kamin;Am Abend kam sein Pferd allein zurück.;6970;7008;/1
Am Kamin;Ach – – Träumen!;1084;1100;/0
Am Kamin;Als er aufblickte, sah er die Tür der Kammer geöffnet und eine Hand, die mit einem weißen Tuch zu ihm hereinwehte.;19448;19562;/1
Eine Spukgeschichte;da steht es dicht vor mir;9651;9676;/1
Am Kamin;"Wir vergessen es; aber mitunter dem Unbegreiflichen und Ungeheuren gegenüber befällt uns plötzlich das Gefühl davon; und das, dächte ich, wäre etwas von dem, was wir Grauen zu nennen pflegen.";49191;49382;/0
Am Kamin;Und bald hörte er deutlich ein Kehren wie mit einem scharfen Reisbesen, das von der Richtung des Fensters her allmählich sich nach der Tiefe der Kammer zu bewegte.;10006;10169;/1
Am Kamin;Nun, und was wäre es denn anders?;48957;48990;/0
Tatsachen im Falle Waldemar;Ich sprach mit ihm ganz offen über die Sache, und zu meiner Verwunderung zeigte er lebhaftes Interesse.;3185;3288;/0
Eine Spukgeschichte;hält man sich nur an das Resultat irgendeines Ereignisses, das sich wirklich begeben, so ist dies Resultat der gräßlichste Spuk, den es geben kann.;15799;15946;/0
Tatsachen im Falle Waldemar;Unabhängig von der Schwindsucht vermutete man bei dem Kranken eine Geschwulst an der Pulsader, doch machte die Lungenverknöcherung eine genaue Diagnose in dieser Hinsicht unmöglich.;5759;5940;/0
Am Kamin;Auf näheres Befragen erzählte er dann folgendes:;32378;32426;/0
Eine Spukgeschichte;Dies könne aber nun wieder sehr leicht dadurch geschehen, daß man das Fräulein in der Zeit täusche und die neunte Stunde vorübergehen lasse, ohne daß sie es wisse.;8327;8490;/0
Am Kamin;"Wie lange derselbe gedauert, konnte er später nicht angeben;";9835;9895;/0
Am Kamin;"Ich habe sie damals oft gesehen, das schmale, scharfgeschnittene Gesicht von dem dichten Haubenstriche eingefaßt; aber wir Kinder hatten Scheu vor ihr, es lag etwas in ihren Augen, das uns erschreckte.";25348;25549;/1
Am Kamin;Der Vater erwachte eines Nachts-still, Klärchen! von dem ängstlichen Geschrei des Jungen, welcher neben seinem Bette schlief.;1363;1488;/1
Tatsachen im Falle Waldemar;erwecken Sie mich;20006;20023;/1
Tatsachen im Falle Waldemar;Als sie gegangen waren, sprach ich mit Herrn Waldemar ganz offen über seine bevorstehende Auflösung und vor allem sehr eingehend über das beabsichtigte Experiment.;6439;6602;/0
Am Kamin;Siehst du, ich weiß besser mit ihm umzugehen. ;3076;3122;/0
Am Kamin;Die Frau van A..., die nichts darauf erwidert hatte, stand jetzt von ihrem Lehnstuhl auf und ging, ohne von mir Notiz zu nehmen, eine lange Weile im Zimmer auf und ab, indem sie die Hände umeinanderwand und halblaute klagende Worte hervorstieß.;26867;27111;/1
Eine Spukgeschichte;›Hört,‹ ruft Adelgunde, als es im Boskett ganz finster geworden, ›hört, Kinder, nun will ich euch einmal als die weiße Frau erscheinen, von der unser alte verstorbene Gärtner so oft erzählt hat.;4579;4773;/1
Am Kamin;Plötzlich aber, als wir eben an einem blühenden Rapsfelde vorüberfuhren, verstummte er mitten im lebhaftesten Gespräch, und seine Augen nahmen einen so seltsamen glasigen Ausdruck an, wie ich ihn nie zuvor an einem lebenden Menschen gesehen hatte.;5600;5847;/1
Am Kamin;Wie ist es dem ergangen?;20160;20184;/1
Am Kamin;Als ich aber zufällig einmal die Augen aufschlage, sehe ich zu meiner Verwunderung L. selbst in der Ecke des Zimmers stehen und mit sonderbar ausdruckslosen Augen nach mir hinstarren.;40042;40225;/1
Am Kamin;Da hätten wir also eine Geschichte, wo der Wachende durch den Träumenden zum Visionär wird.;35509;35600;/0
Tatsachen im Falle Waldemar;Diese waren eine Zeitlang erfolglos.;18982;19018;/1
Tatsachen im Falle Waldemar;Sein Befinden war vollkommen unverändert.;17709;17750;/0
Tatsachen im Falle Waldemar;"jetzt
bin ich tot.";16015;16033;/1
Eine Spukgeschichte;Sie pflegte nämlich mit besagtem Mops nur in italienischer Zunge zu reden, da er aus Padua gebürtig – und dabei war das Fräulein die lieblichste Blondine, die es geben mag, und in allen ihren seltsamen Capriccios voll Anmut und Liebenswürdigkeit, so daß sie überall einen unwiderstehlichen Zauber übte, ohne es zu wollen.;1247;1568;/0
Am Kamin;Wer sprach da?;41288;41302;/0
Eine Spukgeschichte;Auf des Mädchens gellendes Angstgeschrei eilt alles aus dem Schlosse herzu.;5663;5738;/1
Am Kamin;Das Herz des Toten wurde noch in derselben Nacht zu ihm in den Sarg gelegt.;48684;48759;/1
Am Kamin;Nein, Kläre, es folgt nicht, obgleich so etwas von einem Küstenmenschen zu hören euch hier nur ersprießlich sein könnte.;36722;36842;/0
Am Kamin;"Der Gelaß für die beiden andern Gesellen befinde sich unten; es sei aber darin nicht Platz für ein drittes Bett.";8865;8977;/0
