Titel;Satz;Position1;Position2;Suspense
Der Untergang des Hauses Usher;Als läge in der übermenschlichen Kraft dieses Ausrufes die Macht eines Zaubers – so rissen jetzt die riesigen alten Türflügel, auf die der Sprecher hinzeigte, ihre gewaltigen ebenholzenen Kinnladen auf.;42657;42859;/1
Der Fremde;ich will aus diesem Anfange gewiß eben so viel herausbringen, als manche Commentatoren aus den ersten Versen des Homer demonstrirt haben.;1794;1931;/0
Der Fremde;"Sie begrüßte ihn nicht so herzlich und patriarchalisch, als er erwartet hatte, alle Häuser kamen ihm vor wie große steinerne Särge;";16428;16559;/1
Das Bettelweib von Locarno;dergestalt, daß beide, ohne sich bestimmt zu erklären, vielleicht in der unwillkürlichen Absicht, außer sich selbst noch etwas Drittes, Lebendiges, bei sich zu haben, den Hund mit sich in das Zimmer nahmen.;4230;4436;/1
Das Bettelweib von Locarno;und während der Marquis, der den Degen ergriffen: wer da? ruft, und da ihm niemand antwortet, gleich einem Rasenden, nach allen Richtungen die Luft durchhaut läßt sie anspannen, entschlossen, augenblicklich, nach der Stadt abzufahren.;5357;5591;/1
Der Untergang des Hauses Usher;Seine Stimme, die eben noch zitternd und unsicher war (wenn die Lebensgeister in tödlicher Erschlaffung ruhten), flammte plötzlich auf zu heftiger Entschiedenheit – wurde schroff und nachdrücklich – dann schwerfällig und dumpf, bleiern einfältig – wurde zu den sonderbar modulierten Kehllauten der ungeheuren Aufregung des sinnlos Betrunkenen oder des unverbesserlichen Opiumessers.;12836;13218;/0
Der Fremde;Der fremde Boden eilte unter ihm hinweg, und er begrüßte freudig die Gränze seines Vaterlandes.;7484;7579;/0
Der Untergang des Hauses Usher;Wir malten und lasen zusammen, oder ich lauschte wie im Traum seinen seltsamen Improvisationen auf der Gitarre.;18003;18114;/0
Der Untergang des Hauses Usher;Sicherlich, kein Mensch hatte sich je in so kurzer Zeit so schrecklich verändert wie Roderick Usher!;10758;10858;/1
Der Untergang des Hauses Usher;Vielleicht hätte allerdings ein scharfprüfender Blick einen kaum wahrnehmbaren Riß entdecken können, der an der Frontseite des Hauses vom Dach im Zickzack die Mauer hinunterlief, bis er sich in den trüben Wassern des Teiches verlor.;7949;8181;/0
Der Fremde;Löwensteins Unruhe war zu heftig, um die Ausbesserung des Wagens abzuwarten.;8282;8358;/1
Der Untergang des Hauses Usher;hier sprang er wie rasend auf und kreischte, als wolle er mit diesen Worten seine Seele hinausbrüllen;42481;42582;/1
Das Bettelweib von Locarno;Aber wie betreten war das Ehepaar, als der Ritter mitten in der Nacht, verstört und bleich, zu ihnen herunterkam, hoch und teuer versichernd, daß es in dem Zimmer spuke, indem etwas, das dem Blick unsichtbar gewesen, mit einem Geräusch, als ob es auf Stroh gelegen, im Zimmerwinkel aufgestanden, mit vernehmlichen Schritten, langsam und gebrechlich, quer über das Zimmer gegangen, und hinter dem Ofen, unter Stöhnen und Ächzen, niedergesunken sei.;1406;1853;/1
Der Fremde;hinter ihm stand eine große Linde, ein Alter ging vorbei, den er zitternd fragte, wem die kleine Wohnung gehöre.;16050;16162;/0
Der Untergang des Hauses Usher;"Rings auf Erden diesem Schlosse
Keines glich;
Herrschte dort mit reichem Trosse
Der Gedanke – königlich.";22202;22306;/0
Der Untergang des Hauses Usher;er hoffe, meine erheiternde Gesellschaft werde seinem Zustande etwas Erleichterung bringen.;3415;3506;/0
Der Fremde;Seine Eltern sahen ihn schweigend und weinend in die Gruft setzen, in welcher sie vor ihrem Sohne hatten ruhen wollen.;6050;6168;/0
Der Fremde;Ich zweifle.;15134;15146;/1
Der Untergang des Hauses Usher;Die Zeitläufte hatten ihm seine ursprüngliche Farbe genommen.;7134;7195;/0
Der Untergang des Hauses Usher;"Ein schwacher Schimmer rötlichen Lichtes drang durch die vergitterten Scheiben herein und reichte gerade hin, die hervortretenden Gegenstände des Gemachs erkennbar zu machen;";9580;9754;/0
Der Untergang des Hauses Usher;Draußen tobte das Unwetter in unverminderter Heftigkeit, als ich den alten Teichdamm kreuzte.;43522;43615;/1
Der Untergang des Hauses Usher;Ich habe wirklich kein Entsetzen vor der Gefahr, nur vor ihrer unvermeidlichen Wirkung – vor dem Schrecken.;14695;14802;/1
Das Bettelweib von Locarno;"Dieser Vorfall, der außerordentliches Aufsehen machte, schreckte auf eine dem Marchese höchst unangenehme Weise, mehrere Käufer ab;";2267;2398;/0
Der Untergang des Hauses Usher;sie befanden sich so hoch über dem schwarzen eichenen Fußboden, daß man nicht an sie heranreichen konnte.;9474;9579;/0
Der Untergang des Hauses Usher;Der aber wartete nicht, bis er herangekommen war, sondern stürzte zu seinen Füßen auf den Silberboden nieder, mit gewaltig schmetterndem, furchtbar dröhnendem Getöse.;40390;40556;/1
Der Untergang des Hauses Usher;"Doch Dämonen, schwarze Sorgen,
Stürzten roh des Königs Thron.";22971;23032;/1
Der Untergang des Hauses Usher;Ganz in unserer Nachbarschaft mußte sich ein Wirbelwind erhoben haben, denn die Windstöße änderten häufig ihre Richtung.;33811;33931;/1
Das Bettelweib von Locarno;und nur der dringende Wunsch, das Schloß, es koste was es wolle, loszuwerden, vermochte sie, das Entsetzen, das sie ergriff, in Gegenwart ihres Dieners zu unterdrücken, und dem Vorfall irgendeine gleichgültige und zufällige Ursache, die sich entdecken lassen müsse, unterzuschieben.;3704;3986;/1
Der Untergang des Hauses Usher;"Aber als ich die Hand auf seine Schulter legte, befiel ein heftiges Zittern seine ganze Gestalt;";41001;41097;/1
Der Fremde;"Ich wette, man hat Ihnen Streiche gespielt;";15012;15055;/0
Das Bettelweib von Locarno;"Vergebens schickte sie Leute hinein, den Unglücklichen zu retten;";5901;5966;/1
Der Untergang des Hauses Usher;denn es war unheimlich, wie die dunklen und zerschlissenen Wandteppiche, vom Atem eines nahenden Sturmes bewegt, stoßweise auf- und niederschwankten und gegen die Verzierungen des Bettes raschelten.;31617;31815;/1
Der Untergang des Hauses Usher;Mit diesen Worten beschattete er sorgsam seine Lampe und lief dann an eins der Fenster, das er dem Sturm weit öffnete.;33486;33604;/1
Der Fremde;Aber glauben Sie mir, ein einziger Tag, eine einzige Stunde können den Jüngling in einen Greis verwandeln.;13670;13776;/1
Der Untergang des Hauses Usher;"Einige derselben, die er mir nun beschrieb, verblüfften und erschreckten mich, doch mochte an dieser Wirkung seine Ausdrucksweise, die
Form
seines Berichtes, schuld sein.";13716;13886;/0
Der Fremde;wenn Sie sich nur nicht verheiratheten.;14837;14876;/1
Der Fremde;oft schien sich der Weg, der sich plötzlich wandte, in das Dickicht des Waldes zu verlieren, und dann lag wieder eine frische grüne Wiese da, rings von hohen Waldbäumen umkränzt. ;8662;8841;/0
Der Fremde;dieser eilte so sehr es nur möglich war, um den höchsten Freuden des Lebens in die Arme zu fliegen.;6740;6839;/0
Der Fremde;er fuhr zusammen, und eilte noch schneller, um diese Furcht von sich abzuschütteln.;9747;9830;/1
Der Untergang des Hauses Usher;Sagte ich nicht, meine Sinne seien scharf?;41656;41698;/1
Der Untergang des Hauses Usher;Mit einem tiefen Atemzug rang ich mich frei aus diesem Bann und setzte mich im Bette auf, ich spähte angestrengt in das undurchdringliche Dunkel des Zimmers und lauschte – wie getrieben von seltsamen instinktiven Ahnungen – auf gewisse dumpfe, unbestimmbare Laute, die, wenn der Sturm schwieg, in langen Zwischenräumen von irgendwoher zu mir drangen.;31998;32348;/1
Der Fremde;Ich danke Ihnen, und ich werde ohnfehlbar kommen.;15268;15317;/1
Der Untergang des Hauses Usher;Hier lautet der Text, wie man sich erinnern wird, so:;36299;36352;/0
Der Untergang des Hauses Usher;Zu andern Zeiten wieder war ich gezwungen, alles lediglich als Äußerungen seiner seltsamen Krankheit aufzufassen, denn ich sah, wie er stundenlang ins Leere starrte – und zwar mit dem Ausdruck tiefster Aufmerksamkeit, als lauschte er irgendeinem eingebildeten Geräusch.;30620;30889;/1
Der Untergang des Hauses Usher;Ihr Hinscheiden, sagte er mit einer Bitterkeit, die ich nie vergessen kann, würde ihn (ihn, den Hoffnungslosen, Gebrechlichen) als den Letzten des alten Geschlechtes der Usher zurücklassen.;16160;16349;/0
Der Untergang des Hauses Usher;Diese Dinge um mich her – das Schnitzwerk der Deckentäfelung, der ebenholzglänzende Flur, die düsteren Wandteppiche mit ihrem phantastischen Waffenschmuck, der bei meinen Tritten rasselte –, das alles waren Dinge, die schon meiner Kindheit vertraut gewesen waren, wie ich mir unumwunden eingestehen mußte –, dennoch wunderte ich mich, was für unheimliche Vorstellungen so gewöhnliche Dinge erwecken konnten.;8660;9067;/1
Der Fremde;So klein und eng?;15462;15479;/1
Der Untergang des Hauses Usher;"Ich werde stets ein Andenken bewahren an die vielen feierlich ernsten Stunden, die ich so allein mit dem Haupt des Hauses Usher zubrachte;";18509;18647;/0
Der Untergang des Hauses Usher;Sie machten wohl einen um so gewaltigeren Eindruck auf mich, als ich in ihrem mystischen Inhalt eine verborgene Andeutung zu entdecken glaubte, daß Usher ein klares Bewußtsein davon habe, wie sehr seine erhabene Vernunft ins Wanken geraten sei.;21729;21973;/0
Der Fremde;etzt da wir im freien Felde stehen, die Stadt mit ihren Lichtern wie ein Sternamphitheater vor uns sehen, ist alles das in Ihrer Seele erloschen, was Sie eben so schön und bedeutungsvoll sagten.;13146;13340;/0
Der Untergang des Hauses Usher;"Die Vorbedingungen für solches Empfindungsvermögen waren hier, wie er sich einbildete, erfüllt in der Art der Anordnung der Steine, in dem sie zusammenhaltenden Bindemittel und ebenso auch in dem Pilzgeflecht, das sie überwucherte;";24258;24489;/0
Der Untergang des Hauses Usher;Du darfst – du sollst das nicht sehen!;34617;34655;/1
Der Untergang des Hauses Usher;Ich entsinne mich gut, daß diese Ballade uns auf ein Gespräch führte, in dem Usher eine seltsame Anschauung kundgab.;23425;23541;/1
Der Fremde;Ich bitte Sie, besuchen Sie mich zuweilen, ich will es versuchen, Sie heiterer zu machen.;14664;14753;/0
Der Fremde;Er nannte ihm seinen Namen und seine Wohnung.;14755;14800;/1
Der Untergang des Hauses Usher;Auf Bitten Ushers half ich ihm bei den Vorkehrungen für die vorläufige Bestattung.;27456;27538;/0
Der Untergang des Hauses Usher;"Wandrer in dem Tale schauten
Durch der Fenster lichten Glanz,
Geister zu dem Sang der Lauten
Schreiten in gemeßnem Tanz
Um den Thron, auf dem erhaben,
Marmorschön,
Würdig solcher Weihegaben
War des Reiches Herr zu sehn.";22525;22744;/0
Der Fremde;Der Unbekannte verschwand hinter eine Thür.;15931;15974;/0
Der Untergang des Hauses Usher;Zweifellos war es nur das Zusammentreffen irgendeines Geräusches mit meinen Worten, das meine Aufmerksamkeit gefesselt hatte.;37386;37511;/0
Der Untergang des Hauses Usher;Ich hatte auch die sehr bemerkenswerte Tatsache erfahren, daß der Stammbaum der Familie Usher, die jederzeit hochangesehen gewesen, zu keiner Zeit einen ausdauernden Nebenzweig hervorgebracht hatte, mit anderen Worten, daß die Abstammung der ganzen Familie in direkter Linie herzustellen war.;4525;4817;/0
Der Untergang des Hauses Usher;Sage lieber: das Zerbersten ihres Sarges, und das Kreischen der eisernen Angeln ihres Gefängnisses, und ihr qualvolles Vorwärtskämpfen durch den kupfernen Bogengang des Gewölbes.;42037;42215;/1
Der Untergang des Hauses Usher;Sicherlich waren sie, sowohl was die Töne als was die Worte anbetraf (denn nicht selten begleitete er sein Spiel mit improvisierten Versgesängen), das Resultat jener intensiven geistigen Anspannung und Konzentration, von der ich schon früher erwähnte, daß sie nur in besonderen Momenten höchster künstlerischer Erregtheit bemerkbar war.;21325;21661;/0
Der Fremde;Löwenstein reiste ab.;3247;3268;/0
Der Untergang des Hauses Usher;Es gab in der Tat Zeiten, wo ich vermeinte, sein unablässig arbeitender Geist kämpfe mit irgendeinem drückenden Geheimnis, zu dessen Bekenntnis er nicht den Mut finden könne.;30445;30619;/1
Der Untergang des Hauses Usher;Sein Wesen war abwechselnd lebhaft und mürrisch.;12787;12835;/0
Der Untergang des Hauses Usher;Sein Blick war stier geradeaus gerichtet, und sein Antlitz schien wie zu Stein erstarrt.;40912;41000;/1
Der Untergang des Hauses Usher;Diese einzelnen Züge, verbunden mit einer massigen Kraft und Breite der Stirn über den Schläfen, bildeten ein Antlitz, das man nicht leicht vergessen konnte.;11457;11614;/0
Der Fremde;Ach ja, in Ihren Jahren dachte ich gerade so.;13500;13545;/1
Der Untergang des Hauses Usher;"Wie ernste, tiefe, unheilbare Schwermut lastete es hier auf allem.
";10237;10304;/1
Der Fremde;"Löwenstein unterhielt sich an manchen Anekdoten und unbedeutenden Stadtneuigkeiten, die ihm der Fremde mittheilte;";11367;11481;/0
Der Untergang des Hauses Usher;Ich will vorlesen und du sollst zuhören, und so wollen wir diese fürchterliche Nacht zusammen verbringen.;35083;35188;/0
Der Untergang des Hauses Usher;Einen Augenblick blieb sie zitternd und taumelnd auf der Schwelle stehen – dann fiel sie mit einem leisen schmerzlichen Aufschrei ins Zimmer auf den Körper ihres Bruders – und in ihrem heftigen und nun endgültigen Todeskampf riß sie ihn tot zu Boden – ein Opfer der Schrecken, die er vorausempfunden hatte.;43154;43460;/1
Der Fremde;Sie sind vielleicht in der Liebe unglücklich gewesen.;14093;14146;/0
Der Untergang des Hauses Usher;Doch die unteren Flächen der jagenden Wolkenmassen und alle umgebenden Dinge draußen im Freien glühten im unnatürlichen Licht eines schwach leuchtenden und deutlich sichtbaren gasartigen Dunstes, der das Haus umgab und einhüllte.;34386;34615;/1
Der Fremde;In seinem ersten Briefe meldete er sogleich, daß die Schwierigkeiten größer wären, als er sie sich vorgestellt habe, daß ihm ein Prozeß drohe, bei welchem er gegenwärtig sein müsse, und daß er leider nur durch Schrift zu seiner Geliebten sprechen könne.;3270;3523;/0
Der Untergang des Hauses Usher;Ich hatte so auf meine Einbildungskraft eingearbeitet, daß ich wirklich glaubte, das Haus und seine ganze Umgebung sei von einer nur ihm eigentümlichen Atmosphäre umflutet – einer Atmosphäre, die zu der Himmelsluft keinerlei Zugehörigkeit hatte, sondern die emporgedunstet war aus den vermorschten Bäumen, den grauen Mauern und dem stummen Pfuhl – ein giftiger, geheimnisvoller, trüber, träger, kaum wahrnehmbarer bleifarbener Dunst.;6508;6941;/1
Der Fremde;"Mit seinen Knabenjahren fielen ihm manche Aengstlichkeiten dieses Alters ein, er erinnerte sich lebhaft, wie er manchmal beim einsamen Wiederhall seiner Fußtritte kalt und bleich geworden war, und er horchte jetzt unwillkührlich auch auf das Echo seines Ganges, das in den dicht gepflanzten Eichen wie sein Genius in der Ferne wandelte;";9410;9746;/1
Der Untergang des Hauses Usher;"es folgte ein langes tosendes Krachen wie das Getöse von tausend Wasserfällen, und der tiefe und schwarze Teich zu meinen Füßen schloß sich finster und schweigend über den Trümmern des
›Hauses Usher‹.";44330;44530;/1
Der Fremde;Er zwang sich seine Leidenschaft zu unterdrücken, aber seine Vernunft war schwächer als seine Liebe, er verlor Schlaf und Munterkeit, und der blühende Jüngling ging bleich und abgezehrt wie ein Schwindsüchtiger umher.;4983;5200;/1
Der Fremde;und deswegen, weil kein Gedanke und keine Stimmung im Menschen die letzte bleibt?;14569;14650;/1
Der Untergang des Hauses Usher;Eine verblüffende Ähnlichkeit zwischen Bruder und Schwester fesselte jetzt zum erstenmal meine Aufmerksamkeit, und Usher, der vielleicht meine Gedanken erriet, murmelte ein paar Worte, denen ich entnahm, daß die Verstorbene und er Zwillinge gewesen waren, und daß Sympathien ganz ungewöhnlicher Natur stets zwischen ihnen bestanden hatten.;28812;29151;/0
Der Untergang des Hauses Usher;Er begrüßte mich verwirrt und ging weiter.;9216;9258;/1
Der Fremde;Er war ein schöner Mann, der sich völlig auf der Reise gebildet hatte, er erzählte mit vielem Interesse von den Gegenständen, die er gesehen, und von den kleinen Abentheuern, die er bestanden hatte.;3946;4144;/0
Der Untergang des Hauses Usher;"Am Tage meiner Ankunft aber unterlag sie gegen Abend der vernichtenden Macht des Zerstörers – so berichtete ihr Bruder mir des Nachts in unaussprechlicher Aufregung, und ich erfuhr, daß der flüchtige Anblick, den ich von ihr gehabt, wohl auch der letzte gewesen sein werde – daß Lady Magdalen wenigstens
lebend
nicht mehr von mir erblickt würde.
";17472;17818;/1
Der Untergang des Hauses Usher;Doch halt, du sollst!;33463;33484;/1
Der Untergang des Hauses Usher;so lebhaft sie mir auch vor Augen stehen – ich würde mich vergeblich bemühen, mehr von ihnen wiederzugeben als eben möglich ist, mit Worten flüchtig anzudeuten.;19435;19595;/0
Der Fremde;"Der Wald fängt schon vor uns an licht zu werden;";12603;12651;/0
Der Fremde;Ich glaube die einzige Ursache, warum wir leben, ist um zu sterben.;14285;14352;/1
Der Fremde;Lassen Sie die Feuerbrände ihr mattes auf- und niederschießendes Licht im Zimmer verbreiten, und dann nehmen Sie das Buch und fangen Sie an zu lesen:;1146;1295;/0
Der Fremde;in dem vor ihm fahrenden Wagen konnte Niemand anders als Amalie sitzen, und er ließ dann so schnell fahren, als wenn ihm seine Geliebte entfliehen wollte, um in den fremden Wagen hinein zu sehen und sich betrogen zu finden.;7258;7481;/0
Der Fremde;Löwenstein reichte ihm die Hand, und aus dem Mantel reichte ihm der Fremdling die seinige.;15736;15826;/0
Der Untergang des Hauses Usher;Er, der Bruder, war (wie er mir sagte) zu diesem Entschluß gekommen infolge des ungewöhnlichen Charakters der Krankheit der Dahingeschiedenen, infolge gewisser eifriger und eindringlicher Fragen ihres Arztes und infolge der abgelegenen und einsamen Lage des Begräbnisplatzes der Familie.;26867;27154;/0
Der Fremde;Der junge Lindner kam jetzt von seinen Reisen zurück, ein Mensch, mit dem Amalie schon in der Jugend bekannt gewesen war.;3623;3744;/0
Der Untergang des Hauses Usher;Dunkle Teppiche hingen an den Wänden.;9898;9935;/0
Der Fremde;"Der Vater gab sich Mühe, die ganze Sache philosophisch zu erklären;";16972;17039;/0
Der Untergang des Hauses Usher;Dieser sein Glaube knüpfte sich (wie ich schon früher andeutete) eng an die grauen Quadern des Heims seiner Väter. ;24143;24258;/0
Der Untergang des Hauses Usher;Ich fürchte die Ereignisse der Zukunft – nicht sie selbst, aber ihre Wirkungen.;14492;14571;/1
Der Untergang des Hauses Usher;"›Wer hier herein will dringen, den Drachen muß er bezwingen;
Ein Held wird er sein, den Schild sich erringen.‹";38109;38219;/0
Der Untergang des Hauses Usher;Und jetzt, nachdem einige Tage bittersten Kummers vergangen waren, trat in der Geistesverwirrung meines Freundes eine merkliche Änderung ein.;29820;29961;/1
Der Fremde;Zwar die Aussicht und das Leben im Freien ersetzt das wieder.;15513;15574;/0
Der Untergang des Hauses Usher;"Mich wenigstens überwältigte – unter den damals obwaltenden Umständen – bei den reinen Abstraktionen, die der Hypochonder wagte auf die Leinwand zu werfen –, mich überwältigte eine ganz unerhörte Ehrfurcht, von der ich nicht einen Schatten hatte empfinden können bei der Betrachtung der sicherlich glühenden, aber doch zu körperlichen Träume Füßlis.
";19785;20135;/0
Der Fremde;Es war ein junger Mensch, der auch nach der Stadt wollte, und Löwenstein schüttelte plötzlich seine Furcht und alle seine drückenden Gefühle von sich, und zog die Luft des Himmels mit großen freien Zügen ein, die er eben erst wie Kerkerdünste durch die Zähne eingeathmet hatte.;10947;11224;/0
Der Untergang des Hauses Usher;Ich fühlte, daß ich eine Luft einatmete, die schwer von Gram und Sorge war.;10161;10236;/1
Der Untergang des Hauses Usher;nach und nach aber hatte er seinen Stuhl so herumgedreht, daß er nun mit dem Gesicht zur Türe schaute.;39586;39688;/1
Der Untergang des Hauses Usher;Ich habe vorhin schon von der krankhaften Überreizung der Gehörsnerven gesprochen, die dem Leidenden alle Musik unerträglich machte, ausgenommen die Klangwirkung gewisser Saiteninstrumente. ;20906;21096;/0
Der Fremde;Wenn sich Jemand die Mühe giebt, irgend eine Geschichte ernsthaft zu erzählen, so ist es die Pflicht der Zuhörer aufmerksam zu sein, und wenigstens nach dem Schein seinen Erzählungen Glauben beizumessen.;0;203;/0
Der Fremde;"so nahte sich der Tag, der zur Hochzeit bestimmt war;";17505;17558;/1
Der Untergang des Hauses Usher;Und jetzt;41887;41896;/1
Der Fremde;Er nahm von Amalien zärtlichen Abschied, beide trösteten sich mit dem Gedanken, daß sie sich sehr bald wiedersehen würden.;3124;3246;/0
Der Untergang des Hauses Usher;"In den nächsten Tagen wurde ihr Name weder von Usher noch von mir erwähnt; und während dieser Zeit war ich ernstlich und angestrengt bemüht, meinen Freund seinem Trübsinn zu entreißen.";17818;18002;/0
Der Untergang des Hauses Usher;Wie verfolgt entfloh ich aus diesem Gemach und diesem Hause.;43461;43521;/1
Das Bettelweib von Locarno;"Das Ehepaar, zwei Lichter auf dem Tisch, die Marquise unausgezogen, der Marchese Degen und Pistolen, die er aus dem Schrank genommen, neben sich, setzen sich, gegen eilf Uhr, jeder auf sein Bett;";4437;4632;/1
Der Fremde;Amalie ward still und trübsinnig, alle Freuden des Wiedersehens blieben aus.;16895;16971;/1
Der Fremde;Es gab eine Zeit, da sich viele von den beliebtesten Historien anfingen: »Es war einmal ein Mann« u.s.w.;1566;1670;/0
Der Fremde;Amalie und ihre Eltern kannten den Bleichen, vor Frost Zitternden, nicht wieder, seine Phantasie war zu sehr zerrüttet, er erzählte ihnen den ganzen Vorfall. ;16737;16895;/0
Der Untergang des Hauses Usher;"Ich hörte sie – vor vielen, vielen Tagen schon – dennoch wagte ich nicht –
ich wagte nicht zu reden!";41784;41884;/1
Der Fremde;"Löwenstein war einige Tage bettlägrig;";17203;17241;/1
Der Fremde;Der Vorhang fiel rauschend vor der Bühne ihres Lebens und ihrer Hoffnungen nieder, sie hatten jetzt in der Welt nichts weiter zu thun, als ihren Sohn zu beweinen und zu sterben.;6169;6346;/0
Der Fremde;Ungewiß stand er still und wartete auf das Näherkommen.;10566;10621;/1
Der Untergang des Hauses Usher;Er war hinsichtlich des Hauses, das er bewohnte, in gewissen abergläubischen Vorstellungen befangen.;15152;15252;/0
Der Untergang des Hauses Usher;"das volle Rund des Satelliten wurde in dem breit aufgerissenen Spalt sichtbar;";44172;44250;/1
Der Untergang des Hauses Usher;doch mühte sich das Auge vergebens, bis in die entfernten Winkel des Zimmers oder in die Tiefen der schmuckreichen Deckenwölbung vorzudringen.;9755;9897;/0
Der Untergang des Hauses Usher;Durch die übertriebene Einfachheit, ja Nacktheit seiner Bilder fesselte er – erzwang er die Aufmerksamkeit.;19596;19703;/0
Der Untergang des Hauses Usher;Sein übertriebener, ruheloser, geradezu krankhafter Idealismus warf auf all unser Tun einen schwefelig feurigen Glanz.;18812;18930;/1
Der Untergang des Hauses Usher;Es war kein Wunder, daß sein Zustand mich erschreckte, mich ansteckte. ;30890;30961;/1
Der Fremde;"Schneidend kamen alle Erinnerungen zu Löwenstein zurück, er kannte jetzt den Kirchhof recht gut, der vor dem Thore lag;";16262;16381;/1
Der Untergang des Hauses Usher;Unsere Blicke ruhten jedoch nicht lange auf der Toten – denn wir konnten sie nicht ohne Ergriffenheit und Grausen betrachten.;29152;29277;/1
Das Bettelweib von Locarno;Demnach ließ er, beim Einbruch der Dämmerung, sein Bett in dem besagten Zimmer aufschlagen, und erharrte, ohne zu schlafen, die Mitternacht.;2689;2829;/1
Der Untergang des Hauses Usher;"Von meinem Geist abschüttelnd, was Traum gewesen sein
mußte,
prüfte ich eingehender das wirkliche Aussehen des Gebäudes.";6942;7062;/0
Der Untergang des Hauses Usher;"Von diesem Gedanken getrieben, lenkte ich mein Pferd an den steilen Abhang eines schwarzen sumpfigen Teiches, der von keinem Hauch bewegt neben dem Schlosse lag, und spähte ins Wasser – doch ein Schauder, stärker als zuvor, schüttelte mich beim Anblick der auf den Kopf gestellten und verzerrten Bilder der grauen Binsen, der gespenstischen Baumstümpfe und der toten, wie leere Augenhöhlen starrenden Fenster.
";2224;2634;/1
Der Untergang des Hauses Usher;Unsere Bücher – die Bücher, die jahrelang des Kranken hauptsächliche Geistesnahrung gebildet hatten – entsprachen, wie vermutet werden konnte, diesem phantastischen Charakter.;25321;25496;/0
Der Untergang des Hauses Usher;Der Strahl war Mondglanz, und der volle, untergehende, blutrote Mond schien jetzt hell durch den einst kaum wahrnehmbaren Riß, von dem ich bereits früher sagte, daß er vom Dach des Hauses im Zickzack bis zum Erdboden lief.;43826;44048;/1
Der Fremde;"Man ging über kleine Hügel und durch anmuthige Thäler;";8607;8661;/0
Der Untergang des Hauses Usher;heute nacht;41899;41910;/1
Der Untergang des Hauses Usher;"Trauert, Freunde, denn kein Morgen
Wird ein Schloß wie dies umloh'n!
Was da blühte, was da glühte
–
Herrlichkeit! –
Eine welke Märchenblüte
Ist's aus längst begrabner Zeit.";23035;23207;/1
Das Bettelweib von Locarno;"Sie hörten aber samt einem treuen Bedienten, den sie mitgenommen hatten, in der Tat, in der nächsten Nacht dasselbe unbegreifliche, gespensterartige Geräusch;";3545;3703;/1
Der Fremde;"Ich hoffe, der Verfasser des Genius und der Memoir's des Grafen von G... hat nicht den Schriftstellerglauben so sehr durchlöchert, daß nicht noch mancher derbere Leser in dem Netze sollte stecken bleiben.";800;1005;/0
Der Untergang des Hauses Usher;Wie Erstarrung kam es über mich, als meine Augen ihren entschwebenden Schritten folgten.;16679;16767;/1
Der Fremde;"Also:
Es war einmal ein Man, der war jung, schön und reich.";2204;2264;/0
Der Untergang des Hauses Usher;"ein wütender Stoß des Wirbelsturms kam;";44132;44171;/1
Der Fremde;Welch ein trübseliger Gedanke!;14366;14396;/0
Der Untergang des Hauses Usher;ch konnte daher seine Züge nur teilweise erblicken, doch sah ich, daß seine Lippen zitterten, als flüstere er leise vor sich hin.;39690;39819;/1
Der Fremde;er erinnerte sich jetzt, was der bleiche Unbekannte über die Freuden des Lebens gesagt hatte, und fand alles so wahr und passend.;17242;17371;/0
Der Untergang des Hauses Usher;Es war jedoch das einzige Buch, das ich zur Hand hatte, und ich nährte eine schwache Hoffnung, der aufgeregte Zustand des Hypochonders möge Beruhigung finden (denn die Geschichte geistiger Zerrüttung weist solche Widersprüche auf) in den tollen Übertriebenheiten, die ich lesen wollte. ;35546;35832;/0
Der Fremde;"Mit Grausen und Angst kämpfend blieb Löwenstein lange wie fest gewurzelt;";15976;16049;/1
Der Untergang des Hauses Usher;Es war ein frostiges Erstarren, ein Erliegen aller Lebenskraft – kurz, eine hilflose Traurigkeit der Gedanken, die kein noch so gewaltsames Anstacheln der Einbildungskraft aufreizen konnte zu Erhabenheit, zu Größe.;1242;1456;/1
Der Fremde;In diesen dämmernden Abendstunden, von Wäldern und stummer Einsamkeit umgeben, erscheint uns das gewühlvolle menschliche Leben gewöhnlich trübselig und freudenleer, eine unbekannte Furcht vor unbekannten Gegenständen nimmt uns bei der Hand, und wie mit einem neu geschaffenen Blicke sehen wir in die Welt hinein, die alle ihre bunten Farben verloren hat, und in einer monotonen Trübheit daliegt.;9832;10227;/1
Der Untergang des Hauses Usher;Wird sie nicht gleich hier sein?;42244;42276;/1
Der Fremde;"So vergingen Tage und Wochen, und Lindner bemerkte endlich, daß er Amalien liebe;";4791;4872;/0
Der Untergang des Hauses Usher;Die rein äußere Ursache, die er für dieses Vorgehen angab, war solcher Art, daß ich mich nicht aufgelegt fühlte, darüber zu diskutieren.;26730;26866;/0
Der Untergang des Hauses Usher;Nach einer Weile kam er auf die Natur seiner Krankheit zu sprechen.;13374;13441;/0
Der Fremde;Löwenstein.;11905;11916;/-
Der Fremde;Löwenstein.;12693;12704;/-
Der Fremde;Löwenstein.;15450;15461;/-
Der Fremde;Löwenstein.;15148;15159;/-
Der Fremde;Löwenstein.;12449;12460;/-
Der Fremde;Löwenstein.;14652;14663;/-
Der Fremde;Löwenstein.;12887;12898;/-
Der Fremde;Löwenstein.;14920;14931;/-
Der Fremde;Löwenstein.;13547;13558;/-
Der Fremde;Löwenstein.;14354;14365;/-
Der Fremde;Löwenstein.;15000;15011;/-
Der Fremde;Löwenstein.;14081;14092;/-
